"id","host_id","host_since","host_response_time","host_response_rate","host_acceptance_rate","host_is_superhost","host_total_listings_count","host_verifications","host_identity_verified","neighbourhood","property_type","room_type","accommodates","bathrooms","bedrooms","beds","bed_type","amenities","guests_included","minimum_nights","cancellation_policy","price"
"7808266","40080883","2015-07-31","","","","f","1.0","{email, phone, reviews, kba}","t","Williamsburg","Apartment","Entire home/apt","2","1.0","1.0","1.0","Real Bed","{TV,Cable TV,Internet,Wireless Internet,Air conditioning,Kitchen,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Dryer,Smoke detector,Carbon monoxide detector,First aid kit,Fire extinguisher,Essentials,Shampoo}","1","2","flexible","$150.00"
"4930683","25399747","2014-12-30","within a few hours","100%","","f","1.0","{email, phone, reviews}","f","Bedford-Stuyvesant","Apartment","Entire home/apt","2","1.0","1.0","1.0","Real Bed","{TV,Cable TV,Internet,Wireless Internet,Air conditioning,Kitchen,Heating,Family/kid friendly,Smoke detector,Carbon monoxide detector,Essentials}","1","3","flexible","$100.00"
"16007759","9224552","2013-10-04","within an hour","100%","","f","1.0","{email, phone, facebook, google, amex, reviews, jumio, offline_government_id, government_id}","t","East Harlem","Apartment","Entire home/apt","2","1.0","1.0","1.0","Real Bed","{Internet,Wireless Internet,Kitchen,Pets allowed,Buzzer/wireless intercom,Heating,Family/kid friendly,Smoke detector,Essentials,Shampoo,Self Check-In,Lockbox}","2","3","strict","$81.00"
"19737484","139176111","2017-07-07","within an hour","100%","","f","1.0","{email, phone, reviews}","f","Harlem","Apartment","Private room","2","1.0","1.0","2.0","Real Bed","{Wireless Internet,Kitchen,Heating,Washer,Dryer,Smoke detector,Safety card,Essentials,Shampoo,Lock on bedroom door,Hangers,Hair dryer,Iron,Laptop friendly workspace,Private living room}","1","2","moderate","$75.00"
"924719","552453","2011-05-02","within an hour","100%","","f","1.0","{email, phone, reviews, jumio, government_id}","t","East Village","Apartment","Entire home/apt","2","1.0","1.0","1.0","Real Bed","{TV,Cable TV,Wireless Internet,Air conditioning,Kitchen,Elevator,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Dryer,Smoke detector,Carbon monoxide detector,Essentials,Hangers,Hair dryer,Iron,Laptop friendly workspace,translation missing: en.hosting_amenity_50}","1","7","strict","$150.00"
"673248","3317183","2012-08-20","within a few hours","100%","","f","3.0","{email, phone, reviews}","f","Bedford-Stuyvesant","House","Entire home/apt","7","1.0","2.0","5.0","Real Bed","{TV,Cable TV,Internet,Wireless Internet,Air conditioning,Kitchen,Heating,Family/kid friendly,Smoke detector,Carbon monoxide detector,Fire extinguisher,Essentials,Hangers,Hair dryer,Iron}","2","3","strict","$89.00"
"15715221","37447483","2015-07-03","within an hour","100%","","f","2.0","{email, phone, reviews, jumio, kba}","t","Harlem","Apartment","Private room","2","1.0","1.0","2.0","Real Bed","{TV,Wireless Internet,Air conditioning,Kitchen,Heating,Smoke detector,Carbon monoxide detector,First aid kit,Essentials,Lock on bedroom door,Hangers,Hair dryer,Laptop friendly workspace,translation missing: en.hosting_amenity_50,Host greets you}","2","3","strict","$70.00"
"291728","1457410","2011-11-30","","","","f","1.0","{email, phone, facebook, reviews, jumio, kba}","t","Little Italy","Apartment","Entire home/apt","2","1.0","0.0","1.0","Real Bed","{TV,Internet,Wireless Internet,Air conditioning,Kitchen,Elevator,Hot tub,Buzzer/wireless intercom,Heating,Dryer,Smoke detector,Carbon monoxide detector,Fire extinguisher,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace}","1","30","moderate","$98.00"
"3613067","3953962","2012-10-23","within a day","60%","","f","3.0","{email, phone, reviews, jumio}","t","Lower East Side","Apartment","Private room","2","1.0","1.0","1.0","Real Bed","{TV,Internet,Wireless Internet,Air conditioning,Kitchen,Buzzer/wireless intercom,Heating,Family/kid friendly,Smoke detector,Carbon monoxide detector,Essentials,Shampoo,translation missing: en.hosting_amenity_50}","1","2","strict","$100.00"
"15256150","27803037","2015-02-15","within an hour","100%","","f","1.0","{email, phone, reviews, kba, work_email}","t","Kips Bay","Apartment","Entire home/apt","3","1.0","1.0","2.0","Real Bed","{TV,Cable TV,Internet,Wireless Internet,Air conditioning,Kitchen,Buzzer/wireless intercom,Heating,Washer,Dryer,Smoke detector,Carbon monoxide detector,Fire extinguisher,Essentials,Shampoo,Lock on bedroom door,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50,Self Check-In,Lockbox}","2","2","moderate","$175.00"
"4362474","13481367","2014-03-24","","","","f","1.0","{email, phone, facebook, reviews, kba}","t","East Village","Apartment","Entire home/apt","2","1.0","1.0","1.0","Real Bed","{Internet,Wireless Internet,Air conditioning,Kitchen,Buzzer/wireless intercom,Heating,Smoke detector,Carbon monoxide detector,Essentials,Shampoo}","1","2","flexible","$199.00"
"20187139","3074904","2012-07-27","within a few hours","100%","","f","2.0","{email, phone, google, reviews, kba, work_email}","t","Long Island City","Apartment","Entire home/apt","4","1.0","1.0","2.0","Real Bed","{Wireless Internet,Air conditioning,Wheelchair accessible,Kitchen,Breakfast,Elevator,Buzzer/wireless intercom,Heating,Washer,Dryer,Smoke detector,Carbon monoxide detector,First aid kit,Safety card,Fire extinguisher,Essentials,Shampoo,Hangers,Hair dryer,Iron,Laptop friendly workspace,Waterfront}","2","2","moderate","$140.00"
"20960324","17921511","2014-07-10","within an hour","100%","","f","1.0","{email, phone, facebook, google, reviews, jumio, work_email}","t","Williamsburg","Apartment","Private room","1","1.0","1.0","1.0","Real Bed","{TV,Cable TV,Wireless Internet,Air conditioning,Kitchen,Heating,Family/kid friendly,Smoke detector,Carbon monoxide detector,Safety card,Essentials,Shampoo,Hangers,Hair dryer,Iron,Laptop friendly workspace}","1","2","strict","$99.00"
"18120248","6473469","2013-05-19","","","","f","1.0","{email, phone, reviews, jumio, kba}","t","Upper West Side","Apartment","Entire home/apt","2","1.0","0.0","1.0","Real Bed","{TV,Wireless Internet,Air conditioning,Elevator,Heating,Washer,Dryer,Smoke detector,Carbon monoxide detector,Essentials,Hangers,Laptop friendly workspace,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50}","1","3","flexible","$100.00"
"16843605","109865937","2017-01-04","within a few hours","100%","","f","1.0","{email, phone, reviews, selfie}","f","Clinton Hill","Apartment","Entire home/apt","4","2.0","1.0","2.0","Pull-out Sofa","{TV,Cable TV,Internet,Wireless Internet,Air conditioning,Kitchen,Heating,Washer,Dryer,Smoke detector,Carbon monoxide detector,First aid kit,Fire extinguisher,Essentials,Shampoo,Lock on bedroom door,Hangers,Hair dryer,Iron,Laptop friendly workspace,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50,Self Check-In,Smart lock,Private entrance}","1","2","moderate","$280.00"
"12776694","50533072","2015-12-04","","","","f","1.0","{email, phone, reviews, jumio, work_email}","t","East Village","Apartment","Private room","1","1.0","1.0","1.0","Real Bed","{Internet,Wireless Internet,Air conditioning,Kitchen,Smoking allowed,Buzzer/wireless intercom,Lock on bedroom door,Hangers,Hair dryer,Iron,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50}","1","1","moderate","$90.00"
"4718152","24373940","2014-12-01","within an hour","90%","","f","1.0","{email, phone, reviews, jumio}","t","Washington Heights","Apartment","Entire home/apt","3","1.0","1.0","2.0","Real Bed","{TV,Internet,Wireless Internet,Air conditioning,Kitchen,Heating,Smoke detector,Essentials,Shampoo}","1","1","strict","$91.00"
"20555684","31427726","2015-04-17","within a few hours","100%","","f","1.0","{email, phone, reviews, kba}","t","Hell's Kitchen","Apartment","Entire home/apt","2","1.0","1.0","1.0","Real Bed","{TV,Wireless Internet,Air conditioning,Kitchen,Heating,Washer,Dryer,Smoke detector,First aid kit,Fire extinguisher,Essentials,Shampoo,Hangers,Hair dryer,Iron,Laptop friendly workspace}","1","3","moderate","$250.00"
"1358963","6776157","2013-06-06","within a few hours","100%","","t","2.0","{email, phone, reviews, kba, work_email}","t","Prospect Heights","Apartment","Private room","2","1.0","1.0","1.0","Real Bed","{Wireless Internet,Air conditioning,Kitchen,Heating,Smoke detector,Carbon monoxide detector,First aid kit,Fire extinguisher,Essentials,Hangers,Hair dryer,Iron,Laptop friendly workspace,Hot water,Bed linens,Extra pillows and blankets,Coffee maker,Refrigerator,Dishwasher,Dishes and silverware,Cooking basics,Oven,Stove,Single level home}","1","1","strict","$55.00"
"3781088","18802286","2014-07-24","within an hour","100%","","f","1.0","{email, phone, reviews, kba}","t","East Village","Apartment","Entire home/apt","2","1.0","1.0","1.0","Real Bed","{TV,Cable TV,Internet,Wireless Internet,Air conditioning,Kitchen,Buzzer/wireless intercom,Heating,Family/kid friendly,Essentials,Hair dryer,Iron}","1","2","moderate","$195.00"
